year,president,party,sentence
1945,Truman,Democratic,We have achieved a world leadership which does not depend solely upon our military and naval might.
1945,Truman,Democratic,We have learned to fight with other nations in common defense of our freedom.
1945,Truman,Democratic,We must now learn to live with other nations for our mutual good.
1945,Truman,Democratic,"We must learn to trade more with other nations so that there may be-for our mutual advantage-increased product ion, increased employment and better standards of living throughout the world."
1945,Truman,Democratic,May we Americans all live up to our glorious heritage.
1945,Truman,Democratic,"In that way, America may well lead the world to peace and prosperity."
1945,Truman,Democratic,"At this moment, I have in my heart a prayer."
1945,Truman,Democratic,"As I have assumed my heavy duties, I humbly pray Almighty God, in the words of King Solomon: ""Give therefore thy servant an understanding heart to judge thy people, that I may discern between good and bad; for who is able to judge this thy so great a people?"" I ask only to be a good and faithful servant of my Lord and my people."
1946,Truman,Democratic,PRESIDENT HARRY S.
1946,Truman,Democratic,TRUMAN'S MESSAGE TO THE CONGRESS ON THE STATE OF THE UNION AND ON THE BUDGET FOR 1946.
1946,Truman,Democratic,"January 21, 1946."
1946,Truman,Democratic,"Dated January 14, 1946 To the Congress of the United States: A quarter century ago the Congress decided that it could no longer consider the financial programs of the various departments on a piecemeal basis."
1946,Truman,Democratic,Instead it has called on the President to present a comprehensive Executive Budget.
1946,Truman,Democratic,The Congress has shown its satisfaction with that method by extending the budget system and tightening its controls.
1946,Truman,Democratic,"The bigger and more complex the Federal Program, the more necessary it is for the Chief Executive to submit a single budget for action by the Congress."
1946,Truman,Democratic,"At the same time, it is clear that the budgetary program and the general program of the Government are actually inseparable."
1946,Truman,Democratic,The President bears the responsibility for recommending to the Congress a comprehensive set of proposals on all Government activities and their financing.
1946,Truman,Democratic,"In formulating policies, as in preparing budgetary estimates mates, the Nation and the Congress have the right to expect the President to adjust and coordinate the views of the various departments and agencies to form a unified program."
1946,Truman,Democratic,"And that program requires consideration in connection with the Budget, which is the annual work program of the Government."
1946,Truman,Democratic,Since our programs for this period which combines war liquidation with reconversion to a peacetime economy are inevitably large and numerous it is imperative that they be planned and executed with the utmost efficiency and the utmost economy.
1946,Truman,Democratic,We have cut the war program to the maximum extent consistent with national security.
1946,Truman,Democratic,We have held our peacetime programs to the level necessary to our national well-being and the attainment of our postwar objectives.
1946,Truman,Democratic,"Where increased programs have been recommended, the increases have been held as low as is consistent with these goals."
1946,Truman,Democratic,I can assure the Congress of the necessity of these programs.
1946,Truman,Democratic,I can further assure the Congress that the program as a whole is well within our capacity to finance it.
1946,Truman,Democratic,All the programs I have recommended for action are included in the Budget figures.
1946,Truman,Democratic,"For these reasons I have chosen to combine the customary Message on the State of the Union with the annual Budget Message, and to include in the Budget not only estimates for functions authorized by the Congress, but also for those which I recommend for its action."
1946,Truman,Democratic,I am also transmitting herewith the Fifth Quarterly Report of the Director of War Mobilization and Reconversion.1 It is a comprehensive discussion of the present state of the reconversion program and of the immediate and long-range needs and recommendations.
1946,Truman,Democratic,"This constitutes, then, as complete a report as I find it possible to prepare now."
1946,Truman,Democratic,It constitutes a program of government in relation to the Nation's needs.
1946,Truman,Democratic,"With the growing responsibility of modern government to foster economic expansion and to promote conditions that assure full and steady employment opportunities, it has become necessary to formulate and determine the Government program in the light of national economic conditions as a whole."
1946,Truman,Democratic,In both the executive and the legislative branches we must make arrangements which will permit us to formulate the Government program in that light.
1946,Truman,Democratic,Such an approach has become imperative if the American political and economic system is to succeed under the conditions of economic instability and uncertainty which we have to face.
1946,Truman,Democratic,"The Government needs to assure business, labor, and agriculture that Government policies will take due account of the requirements of a full employment economy."
1946,Truman,Democratic,"The lack of that assurance would, I believe, aggravate the economic instability."
1946,Truman,Democratic,"With the passage of a full employment bill which I confidently anticipate for the very near future, the executive and legislative branches of government will be empowered to devote their best talents and resources in subsequent years to preparing and acting on such a program. 1The report dated January 1, 1946, and entitled ""Battle for Production"" is printed in House Document 398 (79th Cong., 2d sess.)."
1946,Truman,Democratic,I.
1946,Truman,Democratic,"FROM WAR TO PEACE-THE YEAR OF DECISION In his last Message on the State of the Union, delivered one year ago, President Roosevelt said: ""This new year of 1945 can be the greatest year of achievement in human history. ""1945 can see the final ending of the Nazi Fascist reign of terror in Europe. ""1945 can see the closing in of the forces of retribution about the center of the malignant power of imperialistic Japan. ""Most important of all-1945 can and must see the substantial beginning of the organization of world peace."" All those hopes, and more, were fulfilled in the year 1945."
1946,Truman,Democratic,It was the greatest year of achievement in human history.
1946,Truman,Democratic,"It saw the end of the Nazi-Fascist terror in Europe, and also the end of the malignant power of Japan."
1946,Truman,Democratic,And it saw the substantial beginning of world organization for peace.
1946,Truman,Democratic,These momentous events became realities because of the steadfast purpose of the United Nations and of the forces that fought for freedom under their flags.
1946,Truman,Democratic,The plain fact is that civilization was saved in 1945 by the United Nations.
1946,Truman,Democratic,Our own part in this accomplishment was not the product of any single service.
1946,Truman,Democratic,"Those who fought on land, those who fought on the sea, and those who fought in the air deserve equal credit."
1946,Truman,Democratic,They were supported by other millions in the armed forces who through no fault of their own could not go overseas and who rendered indispensable service in this country.
1946,Truman,Democratic,"They were supported by millions in all levels of government, including many volunteers, whose devoted public service furnished basic organization and leadership."
1946,Truman,Democratic,"They were also supported by the millions of Americans in private life-men and women in industry, in commerce, on the farms, and in all manner of activity on the home front-who contributed their brains and their brawn in arming, equipping, and feeding them."
1946,Truman,Democratic,The country was brought through four years of peril by an effort that was truly national in character.
1946,Truman,Democratic,"Everlasting tribute and gratitude will be paid by all Americans to those brave men who did not come back, who will never come back-the 330,000 who died that the Nation might live and progress."
1946,Truman,Democratic,"All Americans will also remain deeply conscious of the obligation owed to that larger number of soldiers, sailors, and marines who suffered wounds and sickness in their service."
1946,Truman,Democratic,They may be certain that their sacrifice will never be forgotten or their needs neglected.
1946,Truman,Democratic,The beginning of the year 1946 finds the United States strong and deservedly confident.
1946,Truman,Democratic,We have a record of enormous achievements as a democratic society in solving problems and meeting opportunities as they developed.
1946,Truman,Democratic,"We find ourselves possessed of immeasurable advantages-vast and varied natural resources; great plants, institutions, and other facilities; unsurpassed technological and managerial skills; an alert, resourceful, and able citizenry."
1946,Truman,Democratic,"We have in the United States Government rich resources in information, perspective, and facilities for doing whatever may be found necessary to do in giving support and form to the widespread and diversified efforts of all our people."
1946,Truman,Democratic,And for the immediate future the business prospects are generally so favorable that there is danger of such feverish and opportunistic activity that our grave postwar problems may be neglected.
1946,Truman,Democratic,We need to act now with full regard for pitfalls; we need to act with foresight and balance.
1946,Truman,Democratic,"We should not be lulled by the immediate alluring prospects into forgetting the fundamental complexity of modern affairs, the catastrophe that can come in this complexity, or the values that can be wrested from it."
1946,Truman,Democratic,But the long-range difficulties we face should no more lead to despair than our immediate business prospects should lead to the optimism which comes from the present short-range prospect.
1946,Truman,Democratic,"On the foundation of our victory we can build a lasting peace, with greater freedom and security for mankind in our country and throughout the world."
1946,Truman,Democratic,We will more certainly do this if we are constantly aware of the fact that we face crucial issues and prepare now to meet them.
1946,Truman,Democratic,To achieve success will require both boldness in setting our sights and caution in steering our way on an uncharted course.
1946,Truman,Democratic,But we have no luxury of choice.
1946,Truman,Democratic,We must move ahead.
1946,Truman,Democratic,No return to the past is possible.
1946,Truman,Democratic,Our Nation has always been a land of great opportunities for those people of the world who sought to become part of us.
1946,Truman,Democratic,Now we have become a land of great responsibilities to all the people of all the world.
1946,Truman,Democratic,We must squarely recognize and face the fact of those responsibilities.
1946,Truman,Democratic,"Advances in science, in communication, in transportation, have compressed the world into a community."
1946,Truman,Democratic,The economic and political health of each member of the world community bears directly on the economic and political health of each other member.
1946,Truman,Democratic,The evolution of centuries has brought us to a new era in world history in which manifold relationships between nations must be formalized and developed in new and intricate ways.
1946,Truman,Democratic,The United Nations Organization now being established represents a minimum essential beginning.
1946,Truman,Democratic,It must be developed rapidly and steadily.
1946,Truman,Democratic,Its work must be amplified to fill in the whole pattern that has been outlined.
1946,Truman,Democratic,"Economic collaboration, for example, already charted, now must be carried on as carefully and as comprehensively as the political and security measures."
1946,Truman,Democratic,It is important that the nations come together as States in the Assembly and in the Security Council and in the other specialized assemblies and councils that have been and will be arranged.
1946,Truman,Democratic,But this is not enough.
1946,Truman,Democratic,Our ultimate security requires more than a process of consultation and compromise.
1946,Truman,Democratic,It requires that we begin now to develop the United Nations Organization as the representative of the world as one society.
1946,Truman,Democratic,"The United Nations Organization, if we have the will adequately to staff it and to make it work as it should, will provide a great voice to speak constantly and responsibly in terms of world collaboration and world well-being."
1946,Truman,Democratic,There are many new responsibilities for us as we enter into this new international era.
1946,Truman,Democratic,The whole power and will and wisdom of our Government and of our people should be focused to contribute to and to influence international action.
1946,Truman,Democratic,"It is intricate, continuing business."
1946,Truman,Democratic,Many concessions and adjustments will be required.
1946,Truman,Democratic,The spectacular progress of science in recent years makes these necessities more vivid and urgent.
1946,Truman,Democratic,That progress has speeded internal development and has changed world relationships so fast that we must realize the fact of a new era.
1946,Truman,Democratic,It is an era in which affairs have become complex and rich in promise.
1946,Truman,Democratic,"Delicate and intricate relationships, involving us all in countless ways, must be carefully considered."
1946,Truman,Democratic,"On the domestic scene, as well as on the international scene, we must lay a new and better foundation for cooperation."
1946,Truman,Democratic,We face a great peacetime venture; the challenging venture of a free enterprise economy making full and effective use of its rich resources and technical advances.
1946,Truman,Democratic,"This is a venture in which business, agriculture, and labor have vastly greater opportunities than heretofore."
1946,Truman,Democratic,But they all also have vastly greater responsibilities.
1946,Truman,Democratic,"We will not measure up to those responsibilities by the simple return to ""normalcy"" that was tried after the last war."
1946,Truman,Democratic,"The general objective, on the contrary, is to move forward to find the way in time of peace to the full utilization and development of our physical and human resources that were demonstrated so effectively in the war."
1946,Truman,Democratic,"To accomplish this, it is not intended that the Federal Government should do things that can be done as well for the Nation by private enterprise, or by State and local governments."
1946,Truman,Democratic,"On the contrary, the war has demonstrated how effectively we can organize our productive system and develop the potential abilities of our people by aiding the efforts of private enterprise."
1946,Truman,Democratic,As we move toward one common objective there will be many and urgent problems to meet.
1946,Truman,Democratic,Industrial peace between management and labor will have to be achieved-through the process of collective bargaining-with Government assistance but not Government compulsion.
1946,Truman,Democratic,"This is a problem which is the concern not only of management, labor, and the Government, but also the concern of every one of us."
1946,Truman,Democratic,"Private capital and private management are entitled to adequate reward for efficiency, but business must recognize that its reward results from the employment of the resources of the Nation."
1946,Truman,Democratic,Business is a public trust and must adhere to national standards in the conduct of its affairs.
1946,Truman,Democratic,These standards include as a minimum the establishment of fair wages and fair employment practices.
1946,Truman,Democratic,Labor also has its own new peacetime responsibilities.
1946,Truman,Democratic,"Under our collective bargaining system, which must become progressively more secure, labor attains increasing political as well as economic power, and this, as with all power, means increased responsibility."
1946,Truman,Democratic,The lives of millions of veterans and war workers will be greatly affected by the success or failure of our program of war liquidation and reconversion.
1946,Truman,Democratic,"Their transition to peacetime pursuits will be determined by our efforts to break the bottlenecks in key items of productions, to make surplus property immediately available where it is needed, to maintain an effective national employment service, and many other reconversion policies."
1946,Truman,Democratic,Our obligations to the people who won the war will not be paid if we fail to prevent inflation and to maintain employment opportunities.
1946,Truman,Democratic,"While our peacetime prosperity will be based on the private enterprise system, Government can and must assist in many ways."
1946,Truman,Democratic,"It is the Government's responsibility to see that our economic system remains competitive, that new businesses have adequate opportunities, and that our national resources are restored and improved."
1946,Truman,Democratic,Government must realize the effect of its operations on the whole economy.
1946,Truman,Democratic,It is the responsibility of Government to gear its total program to the achievement of full production and full employment.
1946,Truman,Democratic,Our basic objective-toward which all others lead-is to improve the welfare of the American people.
1946,Truman,Democratic,"In addition to economic prosperity, this means that we need social security in the fullest sense of the term; the people must be protected from the fear of want during old age, sickness, and unemployment."
1946,Truman,Democratic,Opportunities for a good education and adequate medical care must be generally available.
1946,Truman,Democratic,Every family should have a decent home.
1946,Truman,Democratic,"The new economic bill of rights to which I have referred on previous occasions is a charter of economic freedom which seeks to assure that all who will may work toward their own security and the general advancement; that we become a well housed people, a well-nourished people, an educated people, a people socially and economically secure, an alert and responsible people."
1946,Truman,Democratic,These and other problems which may face us can be met by the cooperation of all of us in furthering a positive and well balanced Government program-a program which will further national and international well-being.
1946,Truman,Democratic,II.
1946,Truman,Democratic,THE FEDERAL PROGRAM INTERNATIONAL AFFAIRS 1.
1946,Truman,Democratic,FOREIGN POLICY The year 1945 brought with it the final defeat of our enemies.
1946,Truman,Democratic,There lies before us now the work of building a just and enduring peace.
1946,Truman,Democratic,Our most immediate task toward that end is to deprive our enemies completely and forever of their power to start another war.
1946,Truman,Democratic,Of even greater importance to the preservation of international peace is the need to preserve the wartime agreement of the United Nations and to direct it into the ways of peace.
1946,Truman,Democratic,"Long before our enemies surrendered, the foundations had been laid on which to continue this unity in the peace to come."
1946,Truman,Democratic,"The Atlantic meeting in 1941 and the conferences at Casablanca, Quebec, Moscow, Cairo, Tehran, and Dumbarton Oaks each added a stone to the structure."
1946,Truman,Democratic,"Early in 1945, at Yalta, the three major powers broadened and solidified this base of understanding."
1946,Truman,Democratic,There fundamental decisions were reached concerning the occupation and control of Germany.
1946,Truman,Democratic,There also a formula was arrived at for the interim government of the areas in Europe which were rapidly being wrested from Nazi control.
1946,Truman,Democratic,This formula was based on the policy of the United States that people be permitted to choose their own form of government by their own freely expressed choice without interference from any foreign source.
1946,Truman,Democratic,"At Potsdam, in July 1945, Marshal Stalin, Prime Ministers Churchill and Attlee, and I met to exchange views primarily with respect to Germany."
1946,Truman,Democratic,"As a result, agreements were reached which outlined broadly the policy to be executed by the Allied Control Council."
1946,Truman,Democratic,At Potsdam there was also established a Council of Foreign Ministers which convened for the first time in London in September.
1946,Truman,Democratic,"The Council is about to resume its primary assignment of drawing up treaties of peace with Italy, Rumania, Bulgaria, Hungary, and Finland."
1946,Truman,Democratic,"In addition to these meetings, and in accordance with the agreement at Yalta, the Foreign Ministers of Great Britain, the Soviet Union, and the United States conferred together in San Francisco last spring, in Potsdam in July, in London in September, and in Moscow in December."
1946,Truman,Democratic,These meetings have been useful in promoting understanding and agreement among the three governments.
1946,Truman,Democratic,Simply to name all the international meetings and conferences is to suggest the size and complexity of the undertaking to prevent international war in which the United States has now enlisted for the duration of history.
1946,Truman,Democratic,It is encouraging to know that the common effort of the United Nations to learn to live together did not cease with the surrender of our enemies.
1946,Truman,Democratic,"When difficulties arise among us, the United States does not propose to remove them by sacrificing its ideals or its vital interests."
1946,Truman,Democratic,"Neither do we propose, however, to ignore the ideals and vital interests of our friends."
1946,Truman,Democratic,Last February and March an Inter-American Conference on Problems of War and Peace was held in Mexico City.
1946,Truman,Democratic,"Among the many significant accomplishments of that Conference was an understanding that an attack by any country against any one of the sovereign American republics would be considered an act of aggression against all of them; and that if such an attack were made or threatened, the American republics would decide jointly, through consultations in which each republic has equal representation, what measures they would take for their mutual protection."
1946,Truman,Democratic,This agreement stipulates that its execution shall be in full accord with the Charter of the United Nations Organization.
1946,Truman,Democratic,"The first meeting of the General Assembly of the United Nations now in progress in London marks the real beginning of our bold adventure toward the preservation of world peace, to which is bound the dearest hope of men."
1946,Truman,Democratic,We have solemnly dedicated ourselves and all our will to the success of the United Nations Organization.
1946,Truman,Democratic,For this reason we have sought to insure that in the peacemaking the smaller nations shall have a voice as well as the larger states.
1946,Truman,Democratic,"The agreement reached at Moscow last month preserves this opportunity in the making of peace with Italy, Rumania, Bulgaria, Hungary, and Finland."
1946,Truman,Democratic,The United States intends to preserve it when the treaties with Germany and Japan are drawn.
1946,Truman,Democratic,"It will be the continuing policy of the United States to use all its influence to foster, support, and develop the United Nations Organization in its purpose of preventing international war."
1946,Truman,Democratic,If peace is to endure it must rest upon justice no less than upon power.
1946,Truman,Democratic,The question is how justice among nations is best achieved.
1946,Truman,Democratic,We know from day-to-day experience that the chance for a just solution is immeasurably increased when everyone directly interested is given a voice.
1946,Truman,Democratic,"That does not mean that each must enjoy an equal voice, but it does mean that each must be heard."
1946,Truman,Democratic,"Last November, Prime Minister Attlee, Prime Minister MacKenzie King, and I announced our proposal that a commission be established within the framework of the United Nations to explore the problems of effective international control of atomic energy."
1946,Truman,Democratic,"The Soviet Union, France, and China have joined us in the purpose of introducing in the General Assembly a resolution for the establishment of such a commission."
1946,Truman,Democratic,"Our earnest wish is that the work of this commission go forward carefully and thoroughly, but with the greatest dispatch."
1946,Truman,Democratic,I have great hope for the development of mutually effective safeguards which will permit the fullest international control of this new atomic force.
1946,Truman,Democratic,"I believe it possible that effective means can be developed through the United Nations Organization to prohibit, outlaw, and prevent the use of atomic energy for destructive purposes."
1946,Truman,Democratic,The power which the United States demonstrated during the war is the fact that underlies every phase of our relations with other countries.
1946,Truman,Democratic,We cannot escape the responsibility which it thrusts upon us.
1946,Truman,Democratic,"What we think, plan, say, and do is of profound significance to the future of every corner of the world."
1946,Truman,Democratic,The great and dominant objective of United States foreign policy is to build and preserve a just peace.
1946,Truman,Democratic,The peace we seek is not peace for twenty years.
1946,Truman,Democratic,It is permanent peace.
1946,Truman,Democratic,"At a time when massive changes are occurring with lightning speed throughout the world, it is often difficult to perceive how this central objective is best served in one isolated complex situation or another."
1946,Truman,Democratic,"Despite this very real difficulty, there are certain basic propositions to which the United States adheres and to which we shall continue to adhere."
1946,Truman,Democratic,One proposition is that lasting peace requires genuine understanding and active cooperation among the most powerful nations.
1946,Truman,Democratic,Another is that even the support of the strongest nations cannot guarantee a peace unless it is infused with the quality of justice for all nations.
1946,Truman,Democratic,"On October 27, 1945, I made, in New York City, the following public statement of my understanding of the fundamental foreign policy of the United States."
1946,Truman,Democratic,I believe that policy to be in accord with the opinion of the Congress and of the people of the United States.
1946,Truman,Democratic,I believe that that policy carries out our fundamental objectives. 1.We seek no territorial expansion or selfish advantage.
1946,Truman,Democratic,"We have no plans for aggression against any other state, large or small."
1946,Truman,Democratic,We have no objective which need clash with the peaceful aims of any other nation. 2.We believe in the eventual return of sovereign rights and self government to all peoples who have been deprived of them by force. 3.We shall approve no territorial changes in any friendly part of the world unless they accord with the freely expressed wishes of the people concerned. 4.
1946,Truman,Democratic,"We believe that all peoples who are prepared for self-government should be permitted to choose their own form of government by their own freely expressed choice, without interference from any foreign source, That is true in Europe, in Asia, in Africa, as well as in the Western Hemisphere. 5.By the combined and cooperative action of our war allies, we shall help the defeated enemy states establish peaceful democratic governments of their own free choice, And we shall try to attain a world in which nazism, fascism, and military aggression cannot exist. 6.We shall refuse to recognize any government imposed upon any nation by the force of any foreign power."
1946,Truman,Democratic,In some cases it may be impossible to prevent forceful imposition of such a government.
